V,Raw
0.025365873,0.018990668
0.068805147,0.049279575
0.114248716,0.080161715
0.15738141,0.109880521
0.196991159,0.140123691
0.235410541,0.172374312
0.273838961,0.203593124
0.3087475,0.23498646
0.338974881,0.265240781
0.368022261,0.296318917
0.396794626,0.327896327
0.421431535,0.357830382
0.44461318,0.389115791
0.467572408,0.421449813
0.488092804,0.453611669
0.506842934,0.485011075
0.526742254,0.519104108
0.545201106,0.554003885
0.562799387,0.586732473
0.575858937,0.61843266
0.591275157,0.649596262
0.606222855,0.683674147
0.624681198,0.718632011
0.641990716,0.750854399
0.667659184,0.790357451
0.701050895,0.83668506
0.728930469,0.867194916
0.761485546,0.899489568
0.798749107,0.929803491
0.844217769,0.960618375
0.90026179,0.989115117
0.948031819,0.997797296
0.998393667,1.00274723
1.003425663,0.999403701
1.068620773,0.983151083
1.111127559,0.950434945
1.149525438,0.916795327
1.18616359,0.884617381
1.223956452,0.854502902
1.269971585,0.82292884
1.325357252,0.792694948
1.38434715,0.76336787
1.443011206,0.739106704
1.503120482,0.715876868
1.564296835,0.694003748
1.625449815,0.674798981
1.686584184,0.657719072
1.747715335,0.641006413
1.808836551,0.625428138
1.869951944,0.610514569
1.931056587,0.596828329
1.992148781,0.584563378
2.05323564,0.572907489
2.114326295,0.560818175
2.175404545,0.550145164
2.236471787,0.540728855
2.297536305,0.531623571
2.358599632,0.522654233
2.419661977,0.513797093
2.480723775,0.505002241
2.541783538,0.496439809
2.60283389,0.488951817
2.663880852,0.481850777
2.72492323,0.475273193
2.785964867,0.468780092
2.84700538,0.462415433
2.90804703,0.455920852
2.972005667,0.449736922
