tau,beta,Raw
3,10,0.048091281
4,10,0.045086893
5,10,0.042082752
6,10,0.039136797
7,10,0.036133149
3,15,0.047382837
4,15,0.044559181
5,15,0.041676351
6,15,0.038913844
7,15,0.035789626
3,20,0.045510083
4,20,0.042934976
5,20,0.040478464
6,20,0.03790064
7,20,0.035202987
3,25,0.043036206
4,25,0.039789442
5,25,0.03678456
6,25,0.033657873
7,25,0.03047053
3,30,0.038854588
4,30,0.033840662
5,30,0.028887393
6,30,0.023995766
7,30,0.019102412
