tau,beta,Raw
3,10,0.033918674
4,10,0.03030747
5,10,0.026577497
6,10,0.023087653
7,10,0.01959892
7,15,0.02029489
6,15,0.022693603
5,15,0.025211455
4,15,0.028093018
3,15,0.03049099
7,20,0.02014393
6,20,0.021813742
5,20,0.023603804
4,20,0.025150405
3,20,0.026940837
7,25,0.019143819
6,25,0.020206645
5,25,0.021085581
4,25,0.022330632
3,25,0.023088763
7,30,0.016807637
6,30,0.017202427
5,30,0.017718763
4,30,0.018111333
3,30,0.018626929
