V,Raw
0.031546704,0.015583803
0.092870429,0.042433394
0.148322003,0.073020138
0.2068858,0.103943645
0.256612531,0.133696833
0.301155719,0.164465032
0.343116808,0.19404919
0.381557709,0.223843066
0.418666391,0.25510257
0.455642372,0.290354288
0.481405418,0.320218815
0.508241844,0.355056231
0.532587486,0.387344823
0.554619709,0.41596317
0.575442579,0.448756476
0.595099967,0.480716098
0.611947444,0.512131061
0.631409146,0.545514865
0.655064862,0.588091429
0.668101854,0.616454214
0.683972113,0.644227312
0.701581033,0.675741289
0.717438112,0.706417843
0.735933896,0.73710117
0.755399447,0.766617975
0.771479343,0.799697304
0.794939024,0.829216643
0.819297168,0.860077992
0.844432926,0.891423607
0.870342928,0.92363831
0.90173769,0.954509351
0.940802145,0.984256789
0.998673405,1.000786847
1.003425663,0.999403701
1.068620773,0.983151083
1.111127559,0.950434945
1.149525438,0.916795327
1.18616359,0.884617381
1.223956452,0.854502902
1.269971585,0.82292884
1.325357252,0.792694948
1.38434715,0.76336787
1.443011206,0.739106704
1.503120482,0.715876868
1.564296835,0.694003748
1.625449815,0.674798981
1.686584184,0.657719072
1.747715335,0.641006413
1.808836551,0.625428138
1.869951944,0.610514569
1.931056587,0.596828329
1.992148781,0.584563378
2.05323564,0.572907489
2.114326295,0.560818175
2.175404545,0.550145164
2.236471787,0.540728855
2.297536305,0.531623571
2.358599632,0.522654233
2.419661977,0.513797093
2.480723775,0.505002241
2.541783538,0.496439809
2.60283389,0.488951817
2.663880852,0.481850777
2.72492323,0.475273193
2.785964867,0.468780092
2.84700538,0.462415433
2.90804703,0.455920852
2.972005667,0.449736922
