tau,beta,V
3,10,6.127617643
4,10,5.170781672
5,10,4.195756945
6,10,3.269223218
7,10,2.306349024
3,15,5.13431155
4,15,4.505558499
5,15,3.894901592
6,15,3.235846296
7,15,2.649323756
3,20,4.402167833
4,20,3.986049113
5,20,3.57600566
6,20,3.184095397
7,20,2.743583
3,25,4.077233679
4,25,3.630664538
5,25,3.190189185
6,25,2.725505377
7,25,2.297106469
3,30,4.365827366
4,30,3.512159794
5,30,2.610038267
6,30,1.750350995
7,30,0.866418223
